averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,numBoids,leafCapacityOrCellSize,searchAlgo
1.98864341,0.05136294,168.218079,3.364362,50,4,UNIFORMGRID
2.25957966,0.0523373857,268.081482,5.36161852,50,8,UNIFORMGRID
2.52037859,0.05785931,404.04364,8.080884,50,16,UNIFORMGRID
2.84304833,0.0682348,513.1036,10.26208,50,24,UNIFORMGRID
1.90445542,0.06517827,632.135559,12.6427212,50,40,UNIFORMGRID
2.10929847,0.09618529,1386.71936,27.73436,50,80,UNIFORMGRID
1.75436676,0.105481684,1725.11487,34.50216,50,120,UNIFORMGRID
1.903771,0.134963349,2450,49,50,240,UNIFORMGRID
1.64543462,0.132887676,2450,49,50,480,UNIFORMGRID
2.3912282,0.135499671,2450,49,50,800,UNIFORMGRID
1.26817453,0.125880063,2450,49,50,1600,UNIFORMGRID
2.05621243,0.366335273,129.510788,2.59021521,50,1,QUADTREE
1.18746376,0.2642017,107.345879,2.14691877,50,2,QUADTREE
2.22748876,0.2379899,195.303314,3.90606451,50,4,QUADTREE
1.27688432,0.180482656,253.073776,5.061483,50,8,QUADTREE
1.91041732,0.153260618,606.292847,12.1258011,50,16,QUADTREE
1.90541351,0.1419109,731.151367,14.6230078,50,32,QUADTREE
1.82435572,0.1625668,2341.092,46.8217545,50,64,QUADTREE
1.228032,0.160558909,2332.7395,46.65458,50,128,QUADTREE
1.49324369,0.160977632,2364.94238,47.2984123,50,256,QUADTREE
1.07585573,0.160545841,2347.19482,46.9436874,50,512,QUADTREE
1.47514367,0.161799118,2357.09814,47.1417465,50,1024,QUADTREE
1.53312564,0.100776985,2450,49,50,0,BF
3.14413118,0.104490295,517.2072,5.172074,100,4,UNIFORMGRID
5.265771,0.127756059,924.520752,9.245211,100,8,UNIFORMGRID
4.234693,0.127006814,1091.07178,10.9107227,100,16,UNIFORMGRID
4.18393564,0.143122062,1496.50549,14.9650421,100,24,UNIFORMGRID
3.11340022,0.148442253,1751.00244,17.5100155,100,40,UNIFORMGRID
3.99518251,0.2893031,5493.34,54.9335251,100,80,UNIFORMGRID
2.78488731,0.369677484,7890.724,78.9073,100,120,UNIFORMGRID
3.7638936,0.452064455,9900,99,100,240,UNIFORMGRID
2.87474275,0.4425294,9900,99,100,480,UNIFORMGRID
2.49399328,0.4397665,9900,99,100,800,UNIFORMGRID
3.45539355,0.436819673,9900,99,100,1600,UNIFORMGRID
2.52788568,0.869469762,321.684631,3.21684575,100,1,QUADTREE
3.410607,0.7775514,452.0232,4.52023649,100,2,QUADTREE
2.96824241,0.5566174,477.656647,4.7765646,100,4,QUADTREE
2.33497381,0.396495879,651.660156,6.516602,100,8,QUADTREE
2.8701725,0.3439762,1171.26965,11.7126923,100,16,QUADTREE
2.556031,0.3322173,2461.7478,24.6174068,100,32,QUADTREE
3.14240217,0.325784564,2773.016,27.7301388,100,64,QUADTREE
2.79590464,0.514341235,9462.464,94.62451,100,128,QUADTREE
2.82145166,0.52128613,9656.431,96.56443,100,256,QUADTREE
3.238835,0.5268415,9537.368,95.37381,100,512,QUADTREE
3.4870708,0.5248663,9576.725,95.76734,100,1024,QUADTREE
3.26255465,0.3672083,9900,99,100,0,BF
5.04213,0.2952452,1979.64844,7.918589,250,4,UNIFORMGRID
7.43098974,0.385587335,3472.59717,13.8903952,250,8,UNIFORMGRID
6.93147564,0.43566063,4949.4834,19.79795,250,16,UNIFORMGRID
6.60795164,0.484775484,6457.503,25.8300018,250,24,UNIFORMGRID
6.90672445,0.7002596,12237.2793,48.9491158,250,40,UNIFORMGRID
6.912223,1.443332,32222.2715,128.889114,250,80,UNIFORMGRID
6.6655,2.1376996,50675.89,202.703552,250,120,UNIFORMGRID
6.7440424,2.53295851,62249.7539,249,250,240,UNIFORMGRID
5.6213274,2.487065,62249.7461,249,250,480,UNIFORMGRID
5.841601,2.49972677,62249.7578,249,250,800,UNIFORMGRID
6.50354767,2.527985,62249.7734,249,250,1600,UNIFORMGRID
6.330587,3.51335454,1949.45789,7.79783535,250,1,QUADTREE
6.54673958,2.73167419,2129.24829,8.516999,250,2,QUADTREE
6.57525539,2.15955138,2394.68115,9.578726,250,4,QUADTREE
6.333956,1.63123894,3000.94775,12.0037832,250,8,QUADTREE
6.33276129,1.265429,3822.34546,15.2893763,250,16,QUADTREE
5.99698544,1.09938419,5577.275,22.3090973,250,32,QUADTREE
6.87653065,1.18589687,12630.7119,50.5228271,250,64,QUADTREE
6.108389,1.26895881,17342.4824,69.3698654,250,128,QUADTREE
6.51511431,2.82671022,59948,239.79248,250,256,QUADTREE
5.76906,2.779423,59612.8,238.451141,250,512,QUADTREE
6.728045,2.785727,60264.05,241.05658,250,1024,QUADTREE
6.823494,2.19275284,62249.707,249,250,0,BF
4.10544538,0.5305554,4486.173,8.972345,500,4,UNIFORMGRID
10.8795643,0.9921508,10450.3555,20.9007072,500,8,UNIFORMGRID
10.0628672,1.17697823,16617.5586,33.2351227,500,16,UNIFORMGRID
10.3124933,1.48068345,24436.875,48.87376,500,24,UNIFORMGRID
10.0322914,2.54857779,52458.6328,104.917358,500,40,UNIFORMGRID
9.916997,5.912283,146195.672,292.391327,500,80,UNIFORMGRID
