averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,mapSize,leafCapacityOrCellSize,searchAlgo
0,0.26677385,0,0,50,2,UNIFORMGRID
30.6377411,5.46819162,103428.625,103.4287,50,5,UNIFORMGRID
33.5593948,12.223362,277055.2,277.0551,50,10,UNIFORMGRID
38.8630028,19.9333057,483324.125,483.324158,50,15,UNIFORMGRID
43.8549,34.5204964,883388.5,883.3884,50,25,UNIFORMGRID
38.9288368,49.6577377,1312988.13,1312.988,50,50,UNIFORMGRID
28.9350758,37.99589,999000,999,50,75,UNIFORMGRID
30.2403469,38.0155525,999000,999,50,150,UNIFORMGRID
28.0955563,37.9797478,999000,999,50,300,UNIFORMGRID
38.30991,38.2880821,999000,999,50,500,UNIFORMGRID
31.2678719,38.0800552,999000,999,50,1000,UNIFORMGRID
25.3396263,38.6385231,33027.84,33.0278435,50,1,QUADTREE
24.2192135,27.8660011,34323.7266,34.3237343,50,2,QUADTREE
28.4572124,21.8578548,44265.4961,44.2655,50,4,QUADTREE
23.26762,13.731967,44460.6,44.46061,50,8,QUADTREE
25.0376968,11.54584,56856.08,56.85608,50,16,QUADTREE
23.5959015,9.498457,70227.97,70.22795,50,32,QUADTREE
26.09347,9.752346,98161.3359,98.16134,50,64,QUADTREE
23.5961151,9.638237,129515.711,129.515747,50,128,QUADTREE
29.0676174,12.6565294,210479.219,210.479187,50,256,QUADTREE
23.940979,14.185276,275249.125,275.248962,50,512,QUADTREE
21.1210232,33.0986977,771182.563,771.1823,50,1024,QUADTREE
3.40344834,0.9417732,10315.1982,10.3152018,100,2,UNIFORMGRID
10.4537172,2.18742013,32325.3066,32.3253021,100,5,UNIFORMGRID
13.523428,5.74435854,121772.367,121.772346,100,10,UNIFORMGRID
14.7694654,10.1682682,240172.422,240.172318,100,15,UNIFORMGRID
17.1124573,20.9719276,540652.1,540.651855,100,25,UNIFORMGRID
16.4089031,31.7709179,842493.2,842.493347,100,50,UNIFORMGRID
14.7052765,37.34068,999000,999,100,75,UNIFORMGRID
18.3697224,37.3470078,999000,999,100,150,UNIFORMGRID
18.20412,37.3961029,999000,999,100,300,UNIFORMGRID
15.3476,37.2942924,999000,999,100,500,UNIFORMGRID
18.3019218,37.4419,999000,999,100,1000,UNIFORMGRID
13.7742577,27.3435688,20266.3086,20.2663078,100,1,QUADTREE
13.4786673,20.2977676,22168.2988,22.1682987,100,2,QUADTREE
12.8015814,14.810503,25307.9668,25.307972,100,4,QUADTREE
14.1406593,12.2263994,33024.55,33.0245552,100,8,QUADTREE
12.3984127,9.007928,38789.3242,38.7893257,100,16,QUADTREE
11.2410851,7.743291,51362.2266,51.36224,100,32,QUADTREE
10.9318533,7.57306576,73555.4141,73.55539,100,64,QUADTREE
14.1050272,8.955491,118407.094,118.407066,100,128,QUADTREE
12.6999588,11.2987423,200543.844,200.543869,100,256,QUADTREE
13.25004,16.2543526,342006.031,342.006042,100,512,QUADTREE
13.0238075,38.04697,914424.438,914.4244,100,1024,QUADTREE
2.53645468,0.827645063,8550.277,8.550274,150,2,UNIFORMGRID
7.77122259,1.77643788,21416.5117,21.4165115,150,5,UNIFORMGRID
8.423866,3.65380049,71167.37,71.16737,150,10,UNIFORMGRID
7.59413671,5.42670536,121183.664,121.183617,150,15,UNIFORMGRID
7.896045,11.7260838,297815.9,297.8158,150,25,UNIFORMGRID
7.97317362,26.7522526,717005.438,717.0056,150,50,UNIFORMGRID
8.484575,34.324482,927924.6,927.9245,150,75,UNIFORMGRID
8.964635,46.475956,1268606.88,1268.607,150,150,UNIFORMGRID
9.79892,36.8675041,999000,999,150,300,UNIFORMGRID
9.1099205,36.8234444,999000,999,150,500,UNIFORMGRID
9.448198,36.84206,999000,999,150,1000,UNIFORMGRID
10.0534334,23.21104,15741.1191,15.7411232,150,1,QUADTREE
7.935453,15.9208574,14522.2891,14.5222874,150,2,QUADTREE
7.51916456,11.715188,16897.6836,16.8976822,150,4,QUADTREE
7.47787,9.478463,20921.209,20.92121,150,8,QUADTREE
7.20767355,7.541655,28716.6426,28.71664,150,16,QUADTREE
7.934496,6.983786,42612.6836,42.6126747,150,32,QUADTREE
7.37741041,6.862499,63936.5234,63.9365234,150,64,QUADTREE
7.80486536,7.667714,102138.828,102.138832,150,128,QUADTREE
8.11879349,11.3462029,214050.188,214.050339,150,256,QUADTREE
8.51064,13.8765507,285434,285.434174,150,512,QUADTREE
8.245274,40.0019569,966328.1,966.3282,150,1024,QUADTREE
2.51212072,0.9334795,7780.815,7.780813,200,2,UNIFORMGRID
